               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.071292,            0.038872,           0.0075038,             0.35551,             0.33227,             0.24404,            0.080329,            0.076536,            0.023637,            0.011723,           0.0097476,           0.0097476,           0.0097476
                  53,            0.070513,            0.041193,           0.0077063,             0.41217,             0.42007,              0.3344,             0.11545,            0.071682,            0.024222,           0.0092224,           0.0097426,           0.0097426,           0.0097426
                  54,             0.07096,            0.041537,           0.0073176,             0.35838,             0.38362,             0.31134,             0.10075,             0.07195,            0.029496,            0.011182,           0.0097377,           0.0097377,           0.0097377
                  55,             0.06853,            0.040687,           0.0065826,             0.39229,             0.35705,             0.27764,             0.10587,            0.073868,            0.027323,             0.01192,           0.0097327,           0.0097327,           0.0097327
                  56,            0.066432,             0.04218,           0.0068796,             0.31761,             0.33502,              0.2322,            0.069435,            0.070902,            0.026098,           0.0084747,           0.0097278,           0.0097278,           0.0097278
                  57,            0.067897,            0.041237,           0.0067256,             0.26747,             0.36567,             0.23976,            0.078641,            0.070379,            0.023402,           0.0066257,           0.0097228,           0.0097228,           0.0097228
                  58,            0.067596,            0.038845,           0.0064891,             0.32789,             0.48063,             0.33227,            0.099586,            0.071619,            0.024814,           0.0078377,           0.0097179,           0.0097179,           0.0097179
                  59,            0.066631,            0.038369,           0.0065555,             0.32972,             0.45145,             0.32107,             0.12231,            0.069888,            0.027127,            0.010935,           0.0097129,           0.0097129,           0.0097129
                  60,            0.065605,            0.041403,             0.00652,             0.33927,             0.45274,              0.3567,             0.11796,            0.071583,            0.029807,           0.0092499,            0.009708,            0.009708,            0.009708
                  61,            0.067123,            0.041256,           0.0059912,             0.39945,             0.44989,              0.3564,             0.11506,            0.071581,            0.028938,            0.013209,            0.009703,            0.009703,            0.009703
                  62,             0.06448,            0.039734,           0.0057077,             0.47341,             0.41702,             0.33634,             0.12178,            0.065583,            0.027064,            0.011434,            0.009698,            0.009698,            0.009698
                  63,            0.066259,             0.03827,           0.0062427,             0.57555,             0.45901,             0.43355,             0.15871,            0.067224,            0.023133,           0.0086906,           0.0096931,           0.0096931,           0.0096931
                  64,            0.066129,            0.038628,           0.0061692,             0.46427,             0.49076,             0.41433,             0.16427,            0.065334,             0.02462,           0.0062975,           0.0096881,           0.0096881,           0.0096881
                  65,            0.062969,            0.040436,           0.0057963,              0.5163,             0.37252,             0.35997,             0.13321,            0.066338,            0.023821,           0.0079111,           0.0096832,           0.0096832,           0.0096832
                  66,            0.063765,            0.037777,           0.0058765,             0.62059,             0.38989,             0.40485,             0.14092,            0.069756,            0.023405,            0.009539,           0.0096783,           0.0096783,           0.0096783
                  67,            0.064101,            0.037401,           0.0057365,             0.61893,             0.49087,             0.49889,             0.19042,            0.066999,            0.018509,           0.0088287,           0.0096733,           0.0096733,           0.0096733
                  68,            0.063916,            0.038023,           0.0051282,             0.57869,             0.43773,             0.46385,             0.15657,            0.068294,            0.020195,           0.0088249,           0.0096684,           0.0096684,           0.0096684
                  69,            0.063629,            0.038848,           0.0057083,             0.44185,             0.51392,             0.45629,             0.18136,            0.063292,            0.022732,           0.0077217,           0.0096634,           0.0096634,           0.0096634
                  70,            0.060451,            0.036863,           0.0051959,             0.51264,             0.45869,              0.4048,             0.14719,            0.068237,            0.021345,           0.0077225,           0.0096585,           0.0096585,           0.0096585
                  71,            0.063079,            0.036714,           0.0049962,             0.54351,             0.45455,             0.48325,              0.1892,            0.066347,            0.021605,           0.0099846,           0.0096535,           0.0096535,           0.0096535
                  72,            0.061152,            0.038005,           0.0048069,              0.5833,             0.44625,             0.47991,             0.19356,            0.067521,            0.021358,            0.010374,           0.0096486,           0.0096486,           0.0096486
                  73,            0.060367,            0.037238,           0.0050272,             0.62018,              0.4833,             0.48127,             0.18828,            0.065885,            0.020604,           0.0069618,           0.0096436,           0.0096436,           0.0096436
                  74,            0.061563,            0.035562,            0.004991,             0.55518,             0.50066,              0.4941,             0.17295,            0.067394,            0.020082,           0.0090126,           0.0096387,           0.0096387,           0.0096387
                  75,            0.059942,            0.037795,            0.004424,             0.49311,             0.46325,             0.44553,             0.17204,            0.064187,            0.019976,             0.00704,           0.0096337,           0.0096337,           0.0096337
                  76,            0.059069,            0.035936,           0.0051498,             0.55092,             0.44083,             0.42716,             0.15832,            0.064863,            0.018285,           0.0066372,           0.0096288,           0.0096288,           0.0096288
                  77,             0.06148,            0.036551,           0.0046523,             0.62971,             0.48197,             0.50386,             0.18924,            0.064268,            0.018328,           0.0081738,           0.0096238,           0.0096238,           0.0096238
                  78,            0.059941,            0.035646,           0.0048706,             0.71762,             0.56619,             0.56977,              0.2439,            0.063278,             0.01857,           0.0085602,           0.0096188,           0.0096188,           0.0096188
                  79,            0.056706,            0.036046,           0.0045597,             0.61423,             0.49911,             0.50866,             0.23172,            0.064622,            0.021406,            0.011307,           0.0096139,           0.0096139,           0.0096139
                  80,            0.058195,            0.036404,           0.0044625,             0.47399,             0.37242,             0.36269,             0.12897,            0.069552,             0.02443,            0.015595,            0.009609,            0.009609,            0.009609
                  81,            0.058795,             0.03878,            0.004253,             0.53127,             0.46581,             0.45498,             0.18123,            0.067317,             0.02367,            0.010319,            0.009604,            0.009604,            0.009604
                  82,            0.056753,            0.038953,            0.004462,             0.52285,             0.47379,             0.44954,              0.1795,            0.062534,            0.021125,            0.010633,            0.009599,            0.009599,            0.009599
                  83,            0.058382,            0.036734,           0.0046672,             0.54615,             0.45816,             0.42046,             0.16065,            0.063808,            0.019552,           0.0098656,           0.0095941,           0.0095941,           0.0095941
                  84,            0.057007,            0.035265,           0.0042076,             0.61582,             0.53554,             0.51254,             0.21219,            0.061193,            0.019547,           0.0069593,           0.0095892,           0.0095892,           0.0095892
